d_f,bolt_cat,threads_included
12,4.6/S,TRUE
12,4.6/S,FALSE
12,8.8/S,TRUE
12,8.8/S,FALSE
12,8.8/TF,TRUE
12,8.8/TF,FALSE
12,8.8/TB,TRUE
12,8.8/TB,FALSE
16,4.6/S,TRUE
16,4.6/S,FALSE
16,8.8/S,TRUE
16,8.8/S,FALSE
16,8.8/TF,TRUE
16,8.8/TF,FALSE
16,8.8/TB,TRUE
16,8.8/TB,FALSE
20,4.6/S,TRUE
20,4.6/S,FALSE
20,8.8/S,TRUE
20,8.8/S,FALSE
20,8.8/TF,TRUE
20,8.8/TF,FALSE
20,8.8/TB,TRUE
20,8.8/TB,FALSE
24,4.6/S,TRUE
24,4.6/S,FALSE
24,8.8/S,TRUE
24,8.8/S,FALSE
24,8.8/TF,TRUE
24,8.8/TF,FALSE
24,8.8/TB,TRUE
24,8.8/TB,FALSE
30,4.6/S,TRUE
30,4.6/S,FALSE
30,8.8/S,TRUE
30,8.8/S,FALSE
30,8.8/TF,TRUE
30,8.8/TF,FALSE
30,8.8/TB,TRUE
30,8.8/TB,FALSE
36,4.6/S,TRUE
36,4.6/S,FALSE
36,8.8/S,TRUE
36,8.8/S,FALSE
36,8.8/TF,TRUE
36,8.8/TF,FALSE
36,8.8/TB,TRUE
36,8.8/TB,FALSE
