name,section,sec_type,mat_type,grade,d,b,t_f,t_w,r_1
-,-,-,,-,mm,mm,mm,mm,mm
305BT62.5 (GR300),305BT62.5,BT,HotRolledSection,GR300,305,229,19.6,11.9,14
305BT56.5 (GR300),305BT56.5,BT,HotRolledSection,GR300,303,228,17.3,11.2,14
305BT50.5 (GR300),305BT50.5,BT,HotRolledSection,GR300,300,228,14.8,10.6,14
265BT46.3 (GR300),265BT46.3,BT,HotRolledSection,GR300,266,209,15.6,10.2,14
265BT41 (GR300),265BT41,BT,HotRolledSection,GR300,263,209,13.2,9.6,14
230BT41.1 (GR300),230BT41.1,BT,HotRolledSection,GR300,229,191,16,9.9,11.4
230BT37.3 (GR300),230BT37.3,BT,HotRolledSection,GR300,228,190,14.5,9.1,11.4
230BT33.6 (GR300),230BT33.6,BT,HotRolledSection,GR300,226,190,12.7,8.5,11.4
205BT29.9 (GR300),205BT29.9,BT,HotRolledSection,GR300,202,178,12.8,7.8,11.4
205BT26.9 (GR300),205BT26.9,BT,HotRolledSection,GR300,200,178,10.9,7.6,11.4
180BT28.4 (GR300),180BT28.4,BT,HotRolledSection,GR300,178,172,13,8,11.4
180BT25.4 (GR300),180BT25.4,BT,HotRolledSection,GR300,177,171,11.5,7.3,11.4
180BT22.4 (GR300),180BT22.4,BT,HotRolledSection,GR300,175,171,9.7,6.9,11.4
155BT23.1 (GR300),155BT23.1,BT,HotRolledSection,GR300,153,166,11.8,6.7,11.4
155BT20.2 (GR300),155BT20.2,BT,HotRolledSection,GR300,151,165,10.2,6.1,11.4
155BT16 (GR300),155BT16,BT,HotRolledSection,GR300,148,149,8,5.5,13
125BT18.7 (GR300),125BT18.7,BT,HotRolledSection,GR300,127,146,10.9,6.4,8.9
125BT15.7 (GR300),125BT15.7,BT,HotRolledSection,GR300,125,146,8.6,6.1,8.9
125BT12.9 (GR300),125BT12.9,BT,HotRolledSection,GR300,123,124,8,5,12
100BT14.9 (GR300),100BT14.9,BT,HotRolledSection,GR300,103,134,9.6,6.3,8.9
100BT12.7 (GR300),100BT12.7,BT,HotRolledSection,GR300,101,133,7.8,5.8,8.9
100BT11.2 (GR300),100BT11.2,BT,HotRolledSection,GR300,100,133,7,5,8.9
100BT9.1 (GR300),100BT9.1,BT,HotRolledSection,GR300,98,99,7,4.5,11
90BT11.1 (GR300),90BT11.1,BT,HotRolledSection,GR300,89,90,10,6,8.9
90BT9.1 (GR300),90BT9.1,BT,HotRolledSection,GR300,87,90,8,5,8.9
90BT8.1 (GR300),90BT8.1,BT,HotRolledSection,GR300,86,90,7,4.5,8.9
75BT9.0 (GR300),75BT9.0,BT,HotRolledSection,GR300,77,75,9.5,6,8
75BT7 (GR300),75BT7,BT,HotRolledSection,GR300,74,75,7,5,8
155CT79.0 (GR300),155CT79.0,CT,HotRolledSection,GR300,163,311,25,15.7,16.5
155CT68.5 (GR300),155CT68.5,CT,HotRolledSection,GR300,159,309,21.7,13.8,16.5
155CT59 (GR300),155CT59,CT,HotRolledSection,GR300,156,307,18.7,11.9,16.5
155CT48.4 (GR300),155CT48.4,CT,HotRolledSection,GR300,153,305,15.4,9.9,16.5
125CT44.8 (GR300),125CT44.8,CT,HotRolledSection,GR300,129,256,17.3,10.5,14
125CT36.5 (GR300),125CT36.5,CT,HotRolledSection,GR300,126,254,14.2,8.6,14
100CT29.8 (GR300),100CT29.8,CT,HotRolledSection,GR300,104,205,14.2,9.3,11.4
100CT26.1 (GR300),100CT26.1,CT,HotRolledSection,GR300,102,204,12.5,8,11.4
100CT23.1 (GR300),100CT23.1,CT,HotRolledSection,GR300,101,203,11,7.3,11.4
75CT18.6 (GR300),75CT18.6,CT,HotRolledSection,GR300,80,154,11.5,8.1,8.9
75CT15 (GR300),75CT15,CT,HotRolledSection,GR300,78,153,9.4,6.6,8.9
75CT11.7 (GR300),75CT11.7,CT,HotRolledSection,GR300,75,152,6.8,6.1,8.9
50CT7.4 (GR300),50CT7.4,CT,HotRolledSection,GR300,48,99,7,5,10
